PMC_ID	PMC_Year	Journal	IF	Article Title	Type of paper	Secondary analysis	Data availability statement (yes/no)	Data availability with explaination(yes/no)	Data availability (yes/no)	"If Data availability = yes, where do they share data? (SRA/GEO/other)"	"If other database, specifiy which one"	Code availability statement (Yes/No)	Code availability (Yes/No (reason))	Code availability (Yes/No)	Reproducibility	"If Code availability = yes,  What kind of code do they share?"	"If Code availability = yes, where do they share code (supplementary/ GitHub/ other)"	"If Code availability = yes, do they share the code as notebook or R markdown file (.Rmd)? (yes/no)"	"If yes, notebook/Rmd"	"If yes, single/ multiple"	Summary data (yes/ no/ partial)	Number of citations	Gender of the PI	"Experience of PI/ Last author (Check their profile or webpage to see whether they are an associate/ assistant/ professor/ professor emiretus, etc)"	PI/ last author's training background - CS/ Bioinformatics/ Other	PI (last author's) education level - PhD/PostDoc/ Master's etc	First author's education level	First author's training background (CS/ Bioinformatics/ Other)
PMC6868433	2019	Nucleic_Acids_Res	11.5	Characterization of the Type III restriction endonuclease PstII from Providencia stuartii	Research article	no	no	no	no			no	no	no		no	no	no			no	68	Male	Professor	Other	Phd		
PMC6895259	2019	Nucleic_Acids_Res	11.5	Citrus exocortis viroid causes ribosomal stress in tomato plants	Research article	no	no	no	no			no	no	no		no	no	no			no	70	Female	Professor	Other	Phd	MS	Other
PMC6736032	2019	Nucleic_Acids_Res	11.5	Metal sensing and regulation of adaptive responses to manganese limitation by MtsR is critical for group A streptococcus virulence	Research article	no	yes	yes	yes	GEO	PDB	no	no	no							no	82	Male	Associate Professor	Other	Postdoc	Postdoc	Other
PMC7083059	2020	BMC_Bioinformatics	3.5	2D electrophoresis image brightness correction based on gradient interval histogram	Research article	no	yes	yes	yes	other	supplementary files	no	no	no							no	18	Male	Professor	Other	Phd		
PMC7310558	2020	Genome_Med	11.1	Whole-genome sequence association analysis of blood proteins in a longitudinal wellness cohort	Research article	no	yes	Partial data available	no	other	http://snd.gu.se/	no	no	no							no	46	Male	Professor	Other	Posddoc	Postdoc	Other
PMC7315544	2020	Genome_Med	11.1	Discovery of CD80 and CD86 as recent activation markers on regulatory T cells by protein-RNA single-cell analysis	Research article	no	yes	yes	yes	GEO		no	no	no							no	59	Male	Senior Research Associate	"Other, Genetics"	Postdoc		
PMC7031924	2020	Genome_Med	11.1	A chromosomal connectome for psychiatric and metabolic risk variants in adult dopaminergic neurons	Research article	no	yes	yes	yes	Other	Synapse and ucsc.edu	no	no	no							no	114	Male	Professor	Other	"MD,Phd"	Postdoc	Bioinformatics
PMC7008032	2020	Nat_Biotechnol	55	An integrated perfusion machine preserves injured human livers for 1 week	Research article	no	yes	Available upon request	upon request			no	no	no							no	94	Male	Professor	Other	MD	MD	Other
PMC7854778	2020	Nat_Biotechnol	55	CRISPR C-to-G base editors for inducing targeted DNA transversions in human cells	Research article	no	yes	yes	yes	SRA		yes	no (available upon request)	no							no	93	Male	Professor	"Other, Genetics"	"MD, Phd"	Phd	Other
PMC7878201	2020	Nat_Biotechnol	55	Single-cell metabolic profiling of human cytotoxic T cells	Research article	no	yes	yes	yes	Other	Zenodo	yes	no (available upon request)	no							no	47	Male	Professor	Other	Phd	Postdoc	Other
PMC7610413	2020	Nat_Methods	28.6	Up to 100-fold speedup and multiplexing in optimized DNA-PAINT	Research article	no	yes	Available upon request	upon request			no	no	no							no	33	Male	Professor	Other	Postdoc	Postdoc	Other
PMC7799389	2020	Nat_Methods	28.6	Time-resolved cryoEM using Spotiton	Research article	no	yes	Available upon request	upon request			no	no	no							no	34	Female	Adjunct Professor	Other	Phd	Postdoc	Other
PMC7199528	2020	Nat_Methods	28.6	Kilohertz two-photon fluorescence microscopy imaging of neural activity in vivo	Research article	no	yes	Partial availability	no			no	no	no							no	68	Female	Associate Professor	Other	Postdoc	Postdoc	Other
PMC7359951	2020	Nat_Methods	28.6	Deep three-photon imaging of the brain in intact adult zebrafish	Research article	no	yes	Available upon request	upon request			yes	no (available upon request)	no							no	67	Male	Professor	Other	Phd	Postdoc	"Other, Biostatistics"
PMC7192605	2020	Nucleic_Acids_Res	17	A novel NGS library preparation method to characterize native termini of fragmented DNA	Research article	no	yes	yes	yes	SRA		no	no	no							no	45	Male	Assistant Professor	Other	Phd	Postdoc	Other
PMC7641733	2020	Nucleic_Acids_Res	17	HydraPsiSeq: a method for systematic and quantitative mapping of pseudouridines in RNA	Research article	no	no	no	no			no	no	no							no	79	Male	Professor	Other	Postdoc	Postdoc	Other
PMC7797046	2020	Nucleic_Acids_Res	17	The nature of the modification at position 37 of tRNAPhe correlates with acquired taxol resistance	Research article	no	no	no	no			no	no	no							no	77	Male	Professor	Other	BSc	Phd	Other
PMC7797069	2020	Nucleic_Acids_Res	17	The transcriptional repressors VAL1 and VAL2 recruit PRC2 for genome-wide Polycomb silencing in Arabidopsis	Research article	no	yes	yes	yes	GEO		no	no	no							no	68	Male	Professor	Other	Phd	Phd	Other
PMC7826286	2020	Nucleic_Acids_Res	17	Chromatin structure restricts origin utilization when quiescent cells re-enter the cell cycle	Research article	no	yes	yes	yes	GEO		no	no	no							no	70	Female	Professor	"Other,Genetics"	Phd	Postdoc	Other
PMC7641319	2020	Nucleic_Acids_Res	17	Regulation of alginate catabolism involves a GntR family repressor in the marine flavobacterium Zobellia galactanivorans DsijT	Research article	no	no	no	no			no	no	no							no	92	Male	PostDoc	Other	Postdoc		
PMC8419911	2021	Genome_Biol	15.1	"Oncogene Concatenated Enriched Amplicon Nanopore Sequencing for rapid, accurate, and affordable somatic mutation detection"	Research article	no	yes	yes	yes	SRA		no	no	no							no	0	Male	Associate Professor	CS	Phd	Postdoc	Other
PMC8082814	2021	Genome_Biol	15.1	The impact of cell type and context-dependent regulatory variants on human immune traits	Research article	no	yes	yes (Restricted)	yes	other	EGA	no	no	no							no	4	Male	Assistant Professor	CS	Postdoc	B.S	Other
PMC7784034	2021	Genome_Biol	15.1	Histone modifications during the life cycle of the brown alga Ectocarpus	Research article	no	yes	yes	yes	GEO		no	no	no							no	7	Male	Senior Researcher	Other	Phd	Postdoc	Other
PMC8118107	2021	Genome_Biol	15.1	Multi-omic profiling of lung and liver tumor microenvironments of metastatic pancreatic cancer reveals site-specific immune regulatory pathways	Research article	no	yes	yes	yes	GEO		no	no	no							no	0	Female	Associate Professor	Other	Phd	MD	Other
PMC7836461	2021	Genome_Med	12	Comprehensive molecular characterization of gastric cancer patients from phase II second-line ramucirumab plus paclitaxel therapy trial	Research article	no	yes	Available upon request	upon request			yes	no	no							no	2	Female	Professor	Other	MD	MD	Other
PMC8008663	2021	Genome_Med	12	Emergence and evolution of antimicrobial resistance genes and mutations in Neisseria gonorrhoeae	Research article	no	yes	yes	yes	SRA		no	no	no							no	6	Male	Professor	Other	"MD,Phd"	MD	Other
PMC7610786	2021	Nat_Biotechnol	55	ChIP-seq of plasma cell-free nucleosomes identifies gene expression programs of the cells of origin	Research article	no	yes	yes	yes	Other	EGA	no	no	no							no	12	Male	Professor	CS	Postdoc	Phd	Other
PMC7946812	2021	Nat_Genet	41.3	VisuaLife: library for interactive visualization in rich web applications	Research article	no	yes	yes	yes	other	"dbgap,GWAS"	no	no	no							no	16	Female	Professor	Other	"MD, Phd"	Phd	"Other, Genetics"
PMC7954958	2021	Nat_Methods	48	Decoding the protein composition of whole nucleosomes with Nuc-MS	Research article	no	yes	yes	yes	other	MassIVE	no	no	no							no	9	Male	Professor	Other	Phd	Phd	Other
PMC7968994	2021	Nucleic_Acids_Res	19.3	DHX29 reduces leaky scanning through an upstream AUG codon regardless of its nucleotide context	Research article	no	no	no	no			no	no	no							no	15						
PMC8421218	2021	Nucleic_Acids_Res	19.3	c-kit2 G-quadruplex stabilized via a covalent probe: exploring G-quartet asymmetry	Research article	no	yes	yes	yes	other	PDB	no	no	no							no	0	Male	Researcher	Other	Postdoc	Phd	Other
PMC8053121	2021	Nucleic_Acids_Res	19.3	A programmable pAgo nuclease with universal guide and target specificity from the mesophilic bacterium Kurthia massiliensis	Research article	no	yes	yes	yes	GEO		no	no	no							no	2	Male	Professor				
PMC7897508	2021	Nucleic_Acids_Res	19.3	Crystal structure of a tick-borne flavivirus RNA-dependent RNA polymerase suggests a host adaptation hotspot in RNA viruses	Research article	no	yes	yes	yes	other	Protein Data Bank	no	no	no							no	1	Male	Professor	Other	Phd	Phd	CS
PMC8216272	2021	Nucleic_Acids_Res	19.3	G-quadruplex-forming aptamer enhances the peroxidase activity of myoglobin against luminol	Research article	no	yes	yes	yes	other	Protein Data Bank	no	no	no							no	1	Male	Professor	Other	Phd	Phd	Other
PMC7897473	2021	Nucleic_Acids_Res	19.3	Structural insights into the substrate specificity of the endonuclease activity of the influenza virus cap-snatching mechanism	Research article	no	yes	yes	yes	other	Protein Data Bank	no	no	no							no	3	Male	Professor	Other	Phd	Phd	Other
PMC8136789	2021	Nucleic_Acids_Res	19.3	Implication of repeat insertion domains in the trans-activity of the long non-coding RNA ANRIL	Research article	no	yes	yes	yes	GEO		no	no	no							no	2	Male	Postdoc Researcher 	Other	Phd	Postdoc	Other
PMC5073995	2016	BMC_Bioinformatics	2.5	Successful classification of cocaine dependence using brain imaging: a generalizable machine learning approach	Research article	no	yes	no	no			no	no	no								27	Male	Emeritus  Professor	Other	MD	Doctor	CS
PMC5123308	2016	BMC_Bioinformatics	2.5	An analytical upper bound on the number of loci required for all splits of a species tree to appear in a set of gene trees	Research article	no	yes	no	no			no	no	no								3	Male	Professor	Other Computational Biology	PostDoc	Phd	Bioinformatics
PMC4831157	2016	Genome_Biol	11.2	Single-cell analysis of long non-coding RNAs in the developing human neocortex	Research article	no	yes	yes	yes	GEO		no	no	no								300	Male	Professor	Other Medicine	MD	MD	Medicine
PMC5131449	2016	Genome_Biol	11.2	Systematic analysis of chromatin interactions at disease associated loci links novel candidate genes to inflammatory bowel disease	Research article	no	yes	yes	yes	GEO		no	no	no								35	Male	Associate Professor	Other Medicine	MD		
PMC5048656	2016	Genome_Med	7.1	Transmission of methicillin-resistant Staphylococcus aureus in long-term care facilities and their related healthcare networks.	Research article	no	yes	yes	yes	other	ENA	no	no	no								35	Female	Professor	Other 	Phd	Phd	Genomics
PMC4752745	2016	Genome_Med	7.1	Identifying the effect of patient sharing on between-hospital genetic differentiation of methicillin-resistant Staphylococcus aureus	Research article	no	yes	yes	yes	other	ENA	no	no	no								24	Male	Professor	Other	Phd	Phd	Other 
PMC5015242	2016	Genome_Med	7.1	Epigenomic and metabolic responses of hypothalamic POMC neurons to gestational nicotine exposure in adult offspring	Research article	no	yes	yes	yes	SRA		no	no	no								14	Male	Professor	Other	Phd		
PMC5180407	2016	Genome_Med	7.1	Implementation of next generation sequencing into pediatric hematology-oncology practice: moving beyond actionable alterations	Research article	no	yes	yes	yes	other	 cBioPortal	no	no	no								123	Male		Other	MD	EdD	Other
PMC4942401	2016	Nat_Biotechnol	42	A bright cyan-excitable orange fluorescent protein facilitates dual-emission microscopy and enhances bioluminescence imaging in vivo	Research article	no	no	no	no			no	no	no								177	Male	Associate Professor	Other	MD		
PMC4786489	2016	Nat_Biotechnol	42	A dual AAV system enables the Cas9-mediated correction of a metabolic liver disease in newborn mice	Research article	no	no	no	no			no	no	no								484	Male	Professor	Other	MD		
PMC5225075	2016	Nat_Biotechnol	42	Multiplex gene editing by CRISPR-Cpf1 through autonomous processing of a single crRNA array	Research article	no	no	no	no			no	no	no								572	Male	Associate Professor	Other	Phd	Phd	Other
PMC4980997	2016	Nat_Biotechnol	42	A recellularized human colon model identifies cancer driver genes	Research article	no	no	yes	yes	SRA		no	no	no								80	Male	Professor	Other	Phd	Phd	Other
PMC4963286	2016	Nat_Genet	28	"Genome-wide association study of behavioral, physiological and gene expression traits in commercially available outbred CFW mice"	Research article	no	no	yes	yes	other	Excel Sheets	no	no	no								103	Male	Professor	Other	Phd	Phd	Other
PMC5289555	2016	Nat_Methods	25	Multi-domain structure and correlated dynamics determined by self-consistent FRET networks	Research article	no	no	yes	yes	other	supplementary file	no	no	no								109	Male	Professor	Other 	PostDoc	PostDoc	Other
PMC5210665	2016	Nucleic_Acids_Res	10.2	DrugCentral: online drug compendium	Research article	no	yes	yes	yes	other	Drug Center	no	no	no								208	Male	Professor	Other	MD-Phd	Phd	Other Computational Chemistry
PMC5001587	2016	Nucleic_Acids_Res	10.2	Single base resolution analysis of 5-hydroxymethylcytosine in 188 human genes: implications for hepatic gene expression	Research article	no	no	yes	yes	other	supplementary file	no	no	no								18	Male	Professor	Other	Phd		
PMC5333178	2017	BMC_Bioinformatics	2.6	Interactive exploration of ligand transportation through protein tunnels	Research article	no	no	no (Available upon request)	upon request			no	no	no								20	Female	Associate Professor 	CS	Phd	Phd	Bioinformatics
PMC5599895	2017	Genome_Biol	11.6	Dynamic DNA methylation reconfiguration during seed development and germination	Research article	no	yes	yes	yes	GEO		no	no	no								167	Male	Professor	Other	Postdoc	Phd	Other
PMC5604343	2017	Genome_Biol	11.6	DNA epigenome editing using CRISPR-Cas SunTag-directed DNMT3A	Research article	no	yes	yes	yes	GEO		no	no	no								150	Female	Chair and Professor	Other	Postdoc	Phd 	Other
PMC5517843	2017	Genome_Biol	11.6	Methicillin-resistant Staphylococcus aureus emerged long before the introduction of methicillin into clinical practice	Research article	no	yes	yes	yes	other	ENA	no	no	no								181	Male	Professor		Postdoc	Phd	
PMC5372248	2017	Genome_Med	9	Ethnic and diet-related differences in the healthy infant microbiome	Research article	no	yes	no	no			no	no	no								76	Female	Professor	Other	"MD,Phd"	Postdoc	Other
PMC5394620	2017	Genome_Med	9	Intersect-then-combine approach: improving the performance of somatic variant calling in whole exome sequencing data using multiple aligners and callers	Research article	no	yes	yes	yes	other	precisionFDA 	no	no	no								45	Male	Professor	Other	Postdoc	Phd	Bioinformatics
PMC5693798	2017	Genome_Med	9	Whole-exome sequencing in amyotrophic lateral sclerosis suggests NEK1 is a risk gene in Chinese	Research article	no	yes	yes	yes	other	Project Mine web browser	no	no	no								26	Male	Head of Department	Other	"MD,Phd"	Postdoc	Other
PMC5340623	2017	Nat_Biotechnol	36	Dynamic regulation of metabolic flux in engineered bacteria using a pathway-independent quorum-sensing circuit	Research article	no	no	no	no			no	no	no								349	Female	Professor	Other	Phd		Other
PMC5462862	2017	Nat_Biotechnol	36	Generation of inner ear organoids with functional hair cells from human pluripotent stem cells	Research article	no	no	no	no			no	no	no								191	Female	Professor	Other	Phd	Phd	Other
PMC5340646	2017	Nat_Biotechnol	36	A synthetic AAV vector enables safe and efficient gene transfer to the mammalian inner ear	Research article	no	no	no	no			no	no	no								225	Male	Associate Professor	Other	Phd	"MD, Phd"	Other
PMC5462860	2017	Nat_Biotechnol	36	CRISPR–Cas9 epigenome editing enables high-throughput screening for functional regulatory elements in the human genome	Research article	no	yes	yes	yes	GEO		no	no	no								342	Male	Professor	Other	Phd	Phd	Other
PMC5722674	2017	Nat_Biotechnol	36	Generation of TCRs of higher affinity by antigen-driven differentiation of progenitor T cells in vitro	Research article	no	yes	yes	yes	other	ImmuneACCESS	no	no	no								28	Male	Professor	Other	"MD,Postdoc"		
PMC5557292	2017	Nat_Biotechnol	36	Synergistic drug combinations for cancer identified in a CRISPR screen for pairwise genetic interactions	Research article	no	yes	yes	yes	SRA		no	no (Available upon request)	no								369	Male	Associate Professor	Other	Postdoc	Phd	Other
PMC5664152	2017	Nat_Genet	27.2	Germline hypomorphic CARD11 mutations in severe atopic disease	Research article	no	yes	no (Available upon request)	upon request			no	no	no								144	Male	Professor	Other	MD		
PMC5803080	2017	Nat_Genet	27.2	SMARCB1 is required for widespread BAF complex-mediated activation of enhancers and bivalent promoters	Research article	no	yes	yes	yes	GEO		no	no	no								168	Female	Associate Professor	Other	Phd		
PMC5560095	2017	Nat_Genet	27.2	Kmt1e regulates a large neuron-specific topological chromatin domain	Research article	no	yes	yes	yes	GEO		no	no	no								107	Male	Professor	Other	"MD,Phd"	Postdoc	Other
PMC5675000	2017	Nat_Genet	27.2	"Contribution of rare inherited and de novo variants in 2,871 congenital heart disease probands"	Research article	no	yes	yes	yes	other	dbGaP	no	no	no								498	Female	Professor	Other	MD	Phd	Other Statistical Genetics
PMC5490654	2017	Nat_Genet	27.2	Meta-analysis of five genome-wide association studies identifies multiple new loci associated with testicular germ cell tumor	Research article	no	yes	yes	yes	other	EGA	no	no	no								103	Female	Professor	Other	MD	Phd	Other
PMC5326681	2017	Nat_Genet	27.2	Genome-wide association analyses for lung function and chronic obstructive pulmonary disease identify new loci and potential druggable targets	Research article	no	yes	yes	yes	other	Biobank	no	no	no								246	Male	Professor				
PMC5709169	2017	Nat_Genet	27.2	Ancient hybridization and strong adaptation to viruses across African vervet monkey populations	Research article	no	yes	yes	yes	other	NCBI SRA	no	no	no								71	Male	Associate Professor	Other	Postdoc	Postdoc	Computational Genomics
PMC5659388	2017	Nat_Genet	27.2	Recurrent noncoding regulatory mutations in pancreatic ductal adenocarcinoma	Research article	no	yes	yes	yes	other	IGCG	no	no (Available upon request)	no								50	 Male	Professor	Other	"MD,Phd"	Phd	Other
PMC5909187	2017	Nat_Methods	27	Inducible and multiplex gene regulation using CRISPR-Cpf1-based transcription factors	Research article	no	yes	no (Available upon request)	upon request			no	no	no								166	Male	Professor	Other Genetics	"MD,Phd"	Phd	Epigenetics
PMC5426913	2017	Nat_Methods	27	Generation of mature T cells from human hematopoietic stem/progenitor cells in artificial thymic organoids	Research article	no	yes	no (Available upon request)	upon request			no	no	no								117	Female	Associate Project Scientist	Other	Phd	"MD,Phd"	Other
PMC5636219	2017	Nat_Methods	27	Internally ratiometric fluorescent sensors for evaluation of intracellular GTP levels and distribution	Research article	no	yes	no (Available upon request)	upon request			no	no	no								43	Male	Professor	Other Genetics	Phd	Phd	Other
PMC5482233	2017	Nat_Methods	27	Large-field-of-view imaging by Multi-Pupil Adaptive Optics	Research article	no	yes	no (Available upon request)	upon request			yes	no	no								88	Male	Assistant Professor	Other	Phd	Postdoc	Other
PMC5730411	2017	Nat_Methods	27	Rapidly inducible Cas9 and DSB-ddPCR to probe editing kinetics	Research article	no	yes	yes	yes	other	NCBI	no	no	no								73	Male	Associate Professor	Other	Phd		
PMC5777571	2017	Nat_Methods	27	One-step generation of conditional and reversible gene knockouts	Research article	no	yes	yes	yes	other	Addgene	no	no	no								56	Male	Group Leader	Other 	Phd	Phd	Other
PMC5678970	2017	Nat_Methods	27	Red-shifted luciferase-luciferin pairs for enhanced bioluminescence imaging	Research article	no	yes	yes	yes	other	GenBank	no	no	no								118	Male	Associate Professor	Other	Postdoc	Phd	Other
PMC5389697	2017	Nucleic_Acids_Res	11.6	Alternative lengthening of telomeres can be maintained by preferential elongation of lagging strands	Research article	no	no	no	no			no	no	no								51	Male	Professor	Other	Phd	Phd	Other
PMC5814900	2017	Nucleic_Acids_Res	11.6	Triggering nucleic acid nanostructure assembly by conditional kissing interactions	Research article	no	no	no	no			no	no	no								10	Male	CSO	Other	Phd	Postdoc	Other
PMC5570051	2017	Nucleic_Acids_Res	11.6	Precise integration of inducible transcriptional elements (PrIITE) enables absolute control of gene expression	Research article	no	no	no	no			no	no	no								19	Male	Associate Professor	Other	Phd		
PMC5861427	2017	Nucleic_Acids_Res	11.6	ExoCET: exonuclease in vitro assembly combined with RecET recombination for highly efficient direct DNA cloning from complex genomes	Research article	no	no	no	no			no	no	no								94						
PMC5737895	2017	Nucleic_Acids_Res	11.6	ExoCET: exonuclease in vitro assembly combined with RecET recombination for highly efficient direct DNA cloning from complex genomes	Research article	no	no	no	no			no	no	no								13	Male	Assistant Professor	Other	Postdoc	Phd	Other
PMC5737570	2017	Nucleic_Acids_Res	11.6	The yeast 2-μm plasmid Raf protein contributes to plasmid inheritance by stabilizing the Rep1 and Rep2 partitioning proteins	Research article	no	no	yes	yes	other	Genbank	no	no	no								10	Female	Professor	Other	Postdoc	Postdoc	
PMC5870398	2018	Genome_Biol	12	Correction to: Redefining mouse transgenesis with CRISPR/Cas9 genome editing technology	Research article	no	no	no	no			no	no	no								38	Male	Group Leader	Other	"MD, Phd"		
PMC6299574	2018	Genome_Biol	12	Exploring the genetic basis of human population differences in DNA methylation and their causal impact on immune gene regulation	Research article	no	yes	yes	yes	GEO		no	no	no								68	Male	Head 	Other Genetics	Phd		
PMC6305572	2018	Genome_Biol	12	SCOPE-Seq: a scalable technology for linking live cell imaging and single-cell RNA sequencing	Research article	no	yes	yes	yes	GEO		no	no	no								32	Male	Associate Professor	Other	Postdoc	Postdoc	Other
PMC5830331	2018	Genome_Med	11	NSAID use and somatic exomic mutations in Barrett’s esophagus 	Research article	no	yes	no (Available upon request)	upon request			no	no	no								18					BS	Other
PMC6286558	2018	Genome_Med	11	Complex structural variants in Mendelian disorders: identification and breakpoint resolution using short- and long-read genome sequencing 	Research article	no	yes	yes	yes	other	EGP	no	no	no								97	Female	Director 	"Other, Genetics"	Postdoc	Postdoc	Other
PMC6329375	2018	Nat_Biotechnol	32	Human ESC-Derived Cardiomyocytes Restore Function in Infarcted Hearts of Non-Human Primates 	Research article	no	no	no	no			no	no	no								395	Male	Professor	Other	"MD,Postdoc"	Phd	Other
PMC6072461	2018	Nat_Biotechnol	32	Dual gene activation and knockout screen reveals directional dependencies in genetic networks 	Research article	no	yes	yes	yes	SRA		no	no	no								104	Male	Professor	"Other, Genetics"	Postdoc	Postdoc	Other
